complaint_id,txn_id,user_id,merchant_id,transaction_timestamp,reported_timestamp,disputed_amount,reason_code,complaint_text,resolution_status,bank_response_timestamp,severity,channel
CBK0002082,TXN00004325,usr97580,mch1127,2026/01/28,02-01-2026,,Merchant Not Delivered,Customer says amount was debited twice.,CLOSED,2026-02-10 03:19:10,Critical,ivr
CBK0001941,TXN00003720,USR54113,3835,25/02/2026 10:24 AM,1772691855,414.69,login compromised,User reports money deducted but merchant denies receiving payment.,In Progress,12/03/2026 06:24 AM,H,Call Center
CBK0001799,TXN00012539,USR17980,mch3700,2026/02/04,02-05-2026,"Rs. 7,039",customer issue,merchant service was not delivered after payment.,OPEN,06/03/2026,P4,IVR
CBK0002465,TXN00017802,USR76148,MCH4534,30-Mar-2026,01-Apr-2026,1303.05,no service,Suspicious high-value payment disputed by customer. pls check asap,Rejected,07-Apr-2026,H,ivr
CBK0001870,TXN00015944,USR24660,MCH1686,09-Jan-2026,1768424501,1459.42,merchant service issue,Merchant service was not delivered after payment.,In Progress,01-26-2026,Low,App
CBK0002663,TXN00009741,USR40631,MCH9584,02-05-2026,02-06-2026,Rs. 548,service failed,Complaint received after multiple failed attempts. urgent,Closed,02-23-2026,LOW,Branch
CBK0000782,TXN00015086,USR58789,MCH6008,05/02/2026,02-10-2026,"₹1,949.60",extra amount deducted,User says UPI PIN was not entered by them.,In Progress,03-Mar-2026,M,chatbot
CBK0001838,TXN00014426,usr30157,MCH-4526,2026-03-26 10:17:08,2026-04-06 04:17:08,4193.52,Service Not Provided,Merchant service was not delivered after payment. details missing,OPEN,18-Apr-2026,M,CHATBOT
CBK0001095,TXN00015316,86750,MCH5980,2026/01/12,13/01/2026,930.83,dispute raised,Customer complaint text unclear due to poor call center notes.,Open,14-Jan-2026,P2,Branch
CBK0002541,TXN00002822,USR11987,MCH3992,2026-03-18 10:04:06,23/03/2026,,UNAUTHORISED,User claims account was compromised before transaction.,OPEN,30/03/2026,P2,ivr
CBK0001147,TXN00002456,USR89588,mch2614,2026-02-10 03:16:00,12/02/2026,1805.23,double debit,customer says amount was debited twice.,IN_PROGRESS,12/03/2026 02:16 PM,P4,chatbot
CBK0001137,TXN00015627,USR35882,MCH8913,21/01/2026 01:07 AM,21/01/2026,"4,853.70",dispute raised,Customer says amount was debited twice.,Resolved,2026-02-06 08:07:54,Medium,CHATBOT
CBK0002213,TXN00009870,USR 79046,8457,02/01/2026,02-17-2026,"Rs. 12,334",Merchant Not Delivered,Merchant service was not delivered after payment.,WIP,,P3,IVR
CBK0000946,TXN00013141,USR22644,MCH9193,01-26-2026,2026-01-31 14:01:41,"7,638.70",Fraud Suspected,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,IN_PROGRESS,,CRITICAL,Email
CBK0002366,TXN00012165,USR98915,MCH6399,2026/02/20,20/02/2026,,fraud,Customer says transaction was not authorized.,IN_PROGRESS,23/02/2026 09:48 PM,P4,Call Center
CBK0002026,TXN00019737,USR27262,MCH-4852,13-Jan-2026,23-Jan-2026,174.11,charged twice,Merchant service was not delivered after payment.,RESOLVED,1770837913,MEDIUM,IVR
CBK0001099,TXN00011289,USR94570,MCH4545,30/01/2026 04:49 AM,02-04-2026,Rs. 305,Account Takeover,Payment made to unknown merchant as per customer statement.,Closed,02-28-2026,CRITICAL,IVR
CBK0001197,TXN00006253,USR19220,MCH7286,2026/01/08,01-10-2026,"Rs. 4,952",dispute raised,Complaint received after multiple failed attempts.,Rejected,1768920206,Medium,CHATBOT
